N-gram,Count,Version
I have,2387,ylt
and he,2151,ylt
all the,2003,ylt
sons of,1948,ylt
of Jehovah,1907,ylt
and they,1834,ylt
of Israel,1683,ylt
son of,1617,ylt
from the,1555,ylt
hath been,1454,ylt
the king,1453,ylt
the land,1392,ylt
the house,1377,ylt
he hath,1368,ylt
the sons,1361,ylt
they have,1336,ylt
thou hast,1230,ylt
who is,1170,ylt
house of,1163,ylt
to him,1129,ylt
I am,1092,ylt
it is,1079,ylt
for the,1055,ylt
have been,1047,ylt
And I,989,ylt
and I,988,ylt
of his,986,ylt
the people,982,ylt
of God,945,ylt
And he,941,ylt
is the,926,ylt
to them,896,ylt
And they,882,ylt
and all,879,ylt
king of,871,ylt
thou dost,828,ylt
for a,826,ylt
saith unto,816,ylt
the Lord,765,ylt
is not,762,ylt
to you,743,ylt
at the,741,ylt
to pass,738,ylt
have not,727,ylt
the earth,719,ylt
and his,709,ylt
him and,697,ylt
according to,694,ylt
And it,693,ylt
it hath,693,ylt
there is,693,ylt
ye have,689,ylt
hath not,655,ylt
land of,654,ylt
who are,646,ylt
they are,645,ylt
in his,637,ylt
do not,623,ylt
to thee,621,ylt
and it,614,ylt
and thou,612,ylt
of thy,608,ylt
is a,607,ylt
that he,586,ylt
he is,581,ylt
which is,565,ylt
saith to,562,ylt
that is,560,ylt
and saith,554,ylt
hand of,552,ylt
the hand,552,ylt
to me,537,ylt
of Judah,531,ylt
is in,530,ylt
He hath,527,ylt
a man,527,ylt
that I,526,ylt
Jehovah hath,525,ylt
them and,523,ylt
the city,516,ylt
he doth,504,ylt
Thou hast,500,ylt
he saith,498,ylt
said to,495,ylt
of their,488,ylt
to Jehovah,485,ylt
the heavens,484,ylt
come in,480,ylt
God of,476,ylt
doth not,476,ylt
unto him,470,ylt
and hath,465,ylt
and ye,459,ylt
and its,458,ylt
Jehovah and,456,ylt
it cometh,439,ylt
with him,437,ylt
of my,436,ylt
because of,434,ylt
of all,434,ylt
that which,432,ylt
cometh to,429,ylt
and for,428,ylt
And Jehovah,427,ylt
and their,427,ylt
and have,414,ylt
and having,414,ylt
and there,414,ylt
of Egypt,409,ylt
he who,406,ylt
the midst,403,ylt
unto me,401,ylt
to all,392,ylt
of them,387,ylt
the way,384,ylt
midst of,383,ylt
in their,381,ylt
I do,380,ylt
the day,377,ylt
hath come,376,ylt
word of,375,ylt
affirmation of,374,ylt
and lo,373,ylt
thee and,370,ylt
that they,369,ylt
I pray,368,ylt
Israel and,367,ylt
say to,367,ylt
day of,366,ylt
before the,362,ylt
me and,361,ylt
all that,359,ylt
the priest,359,ylt
to his,358,ylt
unto them,358,ylt
God and,353,ylt
we have,351,ylt
ye do,348,ylt
thy God,345,ylt
given to,344,ylt
thou art,343,ylt
said Jehovah,338,ylt
him to,335,ylt
shall be,332,ylt
name of,331,ylt
 I,327,ylt
the name,326,ylt
the man,324,ylt
the age,323,ylt
the days,320,ylt
the men,320,ylt
the word,320,ylt
dost not,316,ylt
able to,315,ylt
turn back,314,ylt
And thou,313,ylt
is to,311,ylt
it and,311,ylt
men of,309,ylt
Thus said,307,ylt
Lord Jehovah,306,ylt
Jehovah thy,303,ylt
come to,303,ylt
round about,297,ylt
the altar,295,ylt
O Jehovah,292,ylt
he was,292,ylt
have known,291,ylt
I say,290,ylt
of David,290,ylt
not been,289,ylt
over the,289,ylt
they were,289,ylt
ye are,289,ylt
to do,288,ylt
are not,285,ylt
and she,284,ylt
Jehovah is,283,ylt
the sea,283,ylt
a son,282,ylt
is no,281,ylt
of Hosts,281,ylt
And there,279,ylt
give to,279,ylt
in all,279,ylt
not to,278,ylt
the nations,277,ylt
to go,276,ylt
known that,273,ylt
them to,273,ylt
Jehovah of,272,ylt
he said,271,ylt
and if,270,ylt
and Jehovah,269,ylt
and thy,269,ylt
And He,268,ylt
and hast,266,ylt
may be,265,ylt
days of,263,ylt
pray thee,263,ylt
the eyes,262,ylt
that thou,261,ylt
one of,260,ylt
the field,260,ylt
of this,258,ylt
the priests,258,ylt
eyes of,257,ylt
before Jehovah,253,ylt
these things,253,ylt
with thee,253,ylt
in thy,252,ylt
are the,251,ylt
that day,251,ylt
hath the,249,ylt
the face,249,ylt
Jehovah God,248,ylt
are in,248,ylt
have given,248,ylt
to death,248,ylt
They have,246,ylt
his hand,246,ylt
the Levites,246,ylt
the Philistines,243,ylt
And all,241,ylt
heads of,240,ylt
his son,240,ylt
of your,238,ylt
that ye,238,ylt
He doth,237,ylt
with them,237,ylt
a great,236,ylt
you and,235,ylt
with me,234,ylt
face of,233,ylt
on his,233,ylt
Thou dost,232,ylt
in Jerusalem,232,ylt
his father,231,ylt
man of,231,ylt
God is,230,ylt
against the,230,ylt
his sons,230,ylt
up and,230,ylt
of man,229,ylt
said unto,229,ylt
to us,229,ylt
not known,228,ylt
the wicked,227,ylt
the first,226,ylt
the tent,226,ylt
hath made,225,ylt
of His,224,ylt
the wilderness,224,ylt
up to,224,ylt
Judah and,221,ylt
having come,221,ylt
voice of,220,ylt
God hath,219,ylt
did not,219,ylt
king and,219,ylt
go up,218,ylt
which I,218,ylt
the ark,217,ylt
all his,215,ylt
the things,215,ylt
ye may,214,ylt
them in,212,ylt
him in,211,ylt
may not,211,ylt
the kings,211,ylt
the law,211,ylt
through the,210,ylt
the tribe,209,ylt
the whole,209,ylt
hath given,208,ylt
this is,208,ylt
unto his,208,ylt
An affirmation,207,ylt
our God,207,ylt
Son of,206,ylt
in it,206,ylt
sons and,206,ylt
the evil,206,ylt
a word,205,ylt
me to,205,ylt
who hath,205,ylt
I will,204,ylt
daughter of,204,ylt
is on,204,ylt
thee to,203,ylt
to her,203,ylt
tribe of,203,ylt
unto Moses,203,ylt
have done,202,ylt
that are,202,ylt
I ,201,ylt
for it,201,ylt
speaketh unto,201,ylt
hand and,200,ylt
of our,199,ylt
the one,199,ylt
And ye,198,ylt
to their,198,ylt
people and,197,ylt
Jehovah saith,196,ylt
and He,196,ylt
cut off,196,ylt
for I,196,ylt
the gate,196,ylt
out from,195,ylt
Lo I,194,ylt
cometh in,194,ylt
the world,194,ylt
to thy,194,ylt
unto thee,192,ylt
upon the,192,ylt
which Jehovah,191,ylt
hundred and,190,ylt
of Thy,190,ylt
the Jews,190,ylt
these are,190,ylt
And David,189,ylt
among the,189,ylt
it to,189,ylt
my lord,189,ylt
the sword,189,ylt
the chief,188,ylt
house and,187,ylt
him who,186,ylt
to give,186,ylt
way of,186,ylt
and now,185,ylt
for he,185,ylt
from off,184,ylt
this day,184,ylt
He is,183,ylt
not able,183,ylt
any one,182,ylt
doth the,182,ylt
every one,182,ylt
hath gone,182,ylt
the place,182,ylt
the voice,182,ylt
Jesus Christ,181,ylt
dost thou,181,ylt
have come,181,ylt
the heart,181,ylt
till the,181,ylt
and from,179,ylt
of Babylon,179,ylt
the camp,179,ylt
up the,179,ylt
having been,178,ylt
do I,177,ylt
in this,177,ylt
the head,177,ylt
For the,176,ylt
head of,176,ylt
in your,176,ylt
pass in,176,ylt
his house,175,ylt
to those,175,ylt
city and,174,ylt
your God,174,ylt
of Jerusalem,173,ylt
all things,172,ylt
