N-gram,Count,Version
And it came to pass when,133,asv
And it shall come to pass,90,asv
out of the land of Egypt,85,asv
And Jehovah spake unto Moses saying,72,asv
the word of Jehovah came unto,61,asv
evil in the sight of Jehovah,55,asv
shall know that I am Jehovah,54,asv
it came to pass in the,51,asv
written in the book of the,51,asv
And it came to pass in,49,asv
word of Jehovah came unto me,49,asv
was evil in the sight of,48,asv
that which was evil in the,47,asv
which was evil in the sight,47,asv
door of the tent of meeting,45,asv
of Jehovah came unto me saying,45,asv
the door of the tent of,45,asv
the rest of the acts of,43,asv
did that which was evil in,41,asv
his son reigned in his stead,41,asv
And it came to pass as,40,asv
it came to pass when the,40,asv
of hosts the God of Israel,40,asv
Now the rest of the acts,39,asv
it shall come to pass that,38,asv
out of the hand of the,38,asv
the tribe of the children of,38,asv
Jehovah of hosts the God of,37,asv
when he began to reign and,37,asv
And the word of Jehovah came,36,asv
in the book of the chronicles,36,asv
And it came to pass after,35,asv
began to reign and he reigned,35,asv
he began to reign and he,35,asv
the ark of the covenant of,35,asv
those that were numbered of them,35,asv
book of the chronicles of the,34,asv
of the chronicles of the kings,34,asv
the book of the chronicles of,34,asv
the chronicles of the kings of,34,asv
And he did that which was,33,asv
are they not written in the,33,asv
saith Jehovah the God of Israel,33,asv
with the edge of the sword,33,asv
it shall come to pass in,32,asv
not written in the book of,32,asv
ark of the covenant of Jehovah,31,asv
it came to pass on the,31,asv
of the tribe of the children,31,asv
they not written in the book,31,asv
And it came to pass at,30,asv
Thus saith Jehovah the God of,30,asv
old when he began to reign,30,asv
saith Jehovah of hosts the God,30,asv
years old when he began to,30,asv
And it came to pass on,29,asv
For his lovingkindness endureth for ever,29,asv
forth out of the land of,29,asv
come to pass in that day,28,asv
he did that which was evil,28,asv
shall come to pass in that,28,asv
Speak unto the children of Israel,27,asv
according to the word of Jehovah,27,asv
congregation of the children of Israel,27,asv
offering made by fire unto Jehovah,27,asv
And it came to pass that,26,asv
an offering made by fire unto,26,asv
from twenty years old and upward,26,asv
of the house of Jehovah and,26,asv
saith the Lord Jehovah Behold I,26,asv
shall surely be put to death,26,asv
they shall know that I am,26,asv
ye shall know that I am,26,asv
and ye shall know that I,25,asv
the hand of the king of,25,asv
which Jehovah thy God giveth thee,25,asv
after the shekel of the sanctuary,24,asv
the people that were with him,24,asv
and they shall know that I,23,asv
at the door of the tent,23,asv
right in the eyes of Jehovah,23,asv
Jerusalem and his mothers name was,22,asv
according to the number of the,22,asv
his sons and his brethren twelve,22,asv
in Jerusalem and his mothers name,22,asv
it came to pass at the,22,asv
the congregation of the children of,22,asv
to pass in that day that,22,asv
up out of the land of,22,asv
into the hand of the king,21,asv
it shall come to pass when,21,asv
out of the midst of the,21,asv
Verily verily I say unto you,20,asv
and out of the tribe of,20,asv
of Israel and say unto them,20,asv
unto the children of Israel and,20,asv
was right in the eyes of,20,asv
Therefore thus saith the Lord Jehovah,19,asv
land which Jehovah thy God giveth,19,asv
of the tent of meeting and,19,asv
the priest shall make atonement for,19,asv
and be unclean until the even,18,asv
children of Israel and say unto,18,asv
chronicles of the kings of Israel,18,asv
shekels after the shekel of the,18,asv
that were numbered of them were,18,asv
that which was right in the,18,asv
the children of Israel and say,18,asv
the house of Jehovah and the,18,asv
the word of Jehovah came to,18,asv
their families by their fathers houses,18,asv
which was right in the eyes,18,asv
Jehovah the God of their fathers,17,asv
Thus saith Jehovah of hosts the,17,asv
able to go forth to war,17,asv
all the congregation of the children,17,asv
by their families by their fathers,17,asv
it came to pass when he,17,asv
