N-gram,Count,Book
said to,142,41
And he,118,41
to him,109,41
to them,97,41
he said,83,41
And they,79,41
he was,53,41
and they,48,41
him and,47,41
they were,45,41
And when,44,41
to you,43,41
from the,42,41
those who,42,41
and he,37,41
came to,37,41
will be,37,41
he went,36,41
And Jesus,33,41
his disciples,33,41
all the,32,41
so that,32,41
the people,30,41
Jesus said,29,41
he gave,29,41
with him,29,41
and said,27,41
he had,27,41
of God,27,41
to death,27,41
they said,26,41
when he,26,41
a great,25,41
and gave,25,41
it is,25,41
who were,25,41
and put,24,41
say to,24,41
they had,24,41
him to,23,41
straight away,23,41
they came,23,41
I say,21,41
come to,21,41
number of,21,41
went out,21,41
Son of,20,41
full of,20,41
of him,20,41
the dead,20,41
them and,20,41
when they,20,41
you are,20,41
gave him,19,41
that he,19,41
of his,18,41
on him,18,41
the scribes,18,41
will not,18,41
you have,18,41
a number,17,41
at the,17,41
away from,17,41
gave them,17,41
have no,17,41
it was,17,41
the chief,17,41
they took,17,41
to take,17,41
when the,17,41
news of,16,41
one of,16,41
put him,16,41
the Son,16,41
the boat,16,41
the sea,16,41
to his,16,41
a man,15,41
able to,15,41
great number,15,41
he took,15,41
in answer,15,41
is not,15,41
kingdom of,15,41
that they,15,41
the country,15,41
they went,15,41
I will,14,41
back from,14,41
chief priests,14,41
evil spirits,14,41
had been,14,41
had come,14,41
had no,14,41
of man,14,41
the kingdom,14,41
the man,14,41
they will,14,41
to do,14,41
took him,14,41
went away,14,41
who had,14,41
come back,13,41
for a,13,41
for you,13,41
he made,13,41
of them,13,41
on his,13,41
said in,13,41
that you,13,41
the house,13,41
the same,13,41
these things,13,41
to her,13,41
up and,13,41
was in,13,41
who are,13,41
will come,13,41
you will,13,41
I have,12,41
after him,12,41
and took,12,41
and went,12,41
and when,12,41
because of,12,41
came and,12,41
go into,12,41
it to,12,41
not be,12,41
of it,12,41
the time,12,41
they put,12,41
to go,12,41
to put,12,41
up to,12,41
went into,12,41
and those,11,41
are you,11,41
death and,11,41
