N-gram,Count,Book
of the Lord your God,54,5
the Lord your God is,40,5
which the Lord your God,40,5
to the Lord your God,32,5
the land which the Lord,31,5
Lord your God is giving,27,5
your God is giving you,26,5
the Lord your God and,25,5
land which the Lord your,21,5
the Lord your God has,21,5
by the Lord your God,20,5
before the Lord your God,19,5
marked out by the Lord,18,5
the Lord your God will,17,5
in the land which the,16,5
the voice of the Lord,16,5
Lord your God has given,13,5
the man from a strange,13,5
And let all the people,12,5
all the people say So,12,5
let all the people say,12,5
out by the Lord your,12,5
people say So be it,12,5
place marked out by the,12,5
the Lord said to me,12,5
the people say So be,12,5
the place marked out by,12,5
to the voice of the,12,5
which I give you today,12,5
ear to the voice of,11,5
is giving you for your,11,5
the blessing of the Lord,11,5
the orders of the Lord,11,5
to be put to death,11,5
your God has given you,11,5
God is giving you for,10,5
give ear to the voice,10,5
giving you for your heritage,10,5
his oath to your fathers,10,5
in the eyes of the,10,5
of the land of Egypt,10,5
orders which I give you,10,5
out of the land of,10,5
the eyes of the Lord,10,5
voice of the Lord your,10,5
blessing of the Lord your,9,5
in the land of Egypt,9,5
the Lord your God for,9,5
the Lord your God in,9,5
the fear of the Lord,9,5
And the Lord said to,8,5
all the words of this,8,5
for the Lord your God,8,5
laws and the decisions which,8,5
man from a strange land,8,5
may be well for you,8,5
orders of the Lord your,8,5
the Lord the God of,8,5
the laws and the decisions,8,5
with all your heart and,8,5
you are to put away,8,5
For the Lord your God,7,5
and the fruit of your,7,5
be well for you and,7,5
fear of the Lord your,7,5
into the land which the,7,5
it may be well for,7,5
man from a strange country,7,5
of the heart of the,7,5
out of the heart of,7,5
responsible men of the town,7,5
so that it may be,7,5
the Lord your God as,7,5
the Lord your God who,7,5
the heart of the fire,7,5
the name of the Lord,7,5
the responsible men of the,7,5
the work of your hands,7,5
to the children of Israel,7,5
which I have given you,7,5
Lord the God of your,6,5
a father and the widow,6,5
a land flowing with milk,6,5
and the man from a,6,5
child without a father and,6,5
everything to which you put,6,5
eyes of the Lord your,6,5
flowing with milk and honey,6,5
in the fear of the,6,5
in the place marked out,6,5
land flowing with milk and,6,5
land where you are going,6,5
not give ear to the,6,5
put away the evil from,6,5
that it may be well,6,5
the God of your fathers,6,5
the Lord your God gives,6,5
the Lord your God which,6,5
the child without a father,6,5
the far side of Jordan,6,5
the land of Egypt and,6,5
the land of your heritage,6,5
the land where you are,6,5
the valley of the Arnon,6,5
the words of this law,6,5
those who are against you,6,5
to which you put your,6,5
which you put your hand,6,5
without a father and the,6,5
you give ear to the,6,5
Lord your God in the,5,5
Lord your God will be,5,5
a servant in the land,5,5
all the work of your,5,5
altar of the Lord your,5,5
an oath to your fathers,5,5
are to put away the,5,5
be long in the land,5,5
disgusting to the Lord your,5,5
forty days and forty nights,5,5
his laws and his orders,5,5
in the land of Moab,5,5
is to be put to,5,5
keep his laws and his,5,5
long in the land which,5,5
may be long in the,5,5
of the children of Ammon,5,5
on the fruit of your,5,5
on the other side of,5,5
servant in the land of,5,5
so that you may have,5,5
so you are to put,5,5
take care to keep all,5,5
the Lord our God is,5,5
the Lord your God you,5,5
the altar of the Lord,5,5
the fruit of your body,5,5
the fruit of your land,5,5
the orders which I give,5,5
the other side of Jordan,5,5
the wrath of the Lord,5,5
to put away the evil,5,5
to the place marked out,5,5
to you and to your,5,5
took you out of the,5,5
were a servant in the,5,5
which the Lord our God,5,5
who took you out of,5,5
you out of the land,5,5
your God in the place,5,5
