N-gram,Count,Book
it came to pass,39,11
And it came to,37,11
the word of Jehovah,32,11
the king of Israel,28,11
the house of Jehovah,23,11
Jehovah the God of,22,11
the children of Israel,21,11
came to pass when,18,11
the God of Israel,18,11
the man of God,15,11
Benaiah the son of,12,11
in the book of,12,11
in the sight of,12,11
my lord the king,12,11
of the acts of,12,11
the book of the,12,11
the rest of the,12,11
the son of Jehoiada,12,11
written in the book,12,11
And the king of,11,11
are they not written,11,11
book of the chronicles,11,11
chronicles of the kings,11,11
not written in the,11,11
of the chronicles of,11,11
of the kings of,11,11
reigned in his stead,11,11
rest of the acts,11,11
slept with his fathers,11,11
the chronicles of the,11,11
the sight of Jehovah,11,11
they not written in,11,11
with his fathers and,11,11
Now the rest of,10,11
evil in the sight,10,11
of the house of,10,11
the city of David,10,11
word of Jehovah came,10,11
And he said unto,9,11
Asa king of Judah,9,11
Jeroboam the son of,9,11
did that which was,9,11
his son reigned in,9,11
in the house of,9,11
of Jehovah and the,9,11
of Jehovah which he,9,11
son reigned in his,9,11
that which was evil,9,11
the house of Jeroboam,9,11
the name of Jehovah,9,11
the son of Nebat,9,11
the top of the,9,11
was evil in the,9,11
which was evil in,9,11
And the king said,8,11
Jehovah which he spake,8,11
and said unto him,8,11
by the word of,8,11
house of Jehovah and,8,11
made Israel to sin,8,11
of Asa king of,8,11
of David his father,8,11
on the throne of,8,11
out of the land,8,11
the kings of Israel,8,11
year of Asa king,8,11
Zadok the priest and,7,11
according to all that,7,11
all that he did,7,11
and all that he,7,11
came to pass at,7,11
fathers and was buried,7,11
hear thou in heaven,7,11
his fathers and was,7,11
in the way of,7,11
king of Israel and,7,11
word of Jehovah which,7,11
And he said I,6,11
And the word of,6,11
I will give thee,6,11
according to the word,6,11
all the days of,6,11
and Benaiah the son,6,11
and Nathan the prophet,6,11
came to pass after,6,11
captain of the host,6,11
he said unto him,6,11
in the city of,6,11
in the land of,6,11
king of Israel said,6,11
me I pray thee,6,11
of Jehovah came to,6,11
sight of Jehovah and,6,11
son of Jehoiada and,6,11
the king of Syria,6,11
the king said unto,6,11
the walls of the,6,11
to the word of,6,11
top of the pillars,6,11
And it was so,5,11
Nathan the prophet and,5,11
all the assembly of,5,11
all the children of,5,11
all the house of,5,11
for the name of,5,11
he made Israel to,5,11
his mothers name was,5,11
into the hand of,5,11
king of Judah and,5,11
of Jeroboam the son,5,11
of the children of,5,11
of the high places,5,11
of the land of,5,11
of thy people Israel,5,11
priest and Nathan the,5,11
sit upon my throne,5,11
the ark of the,5,11
the assembly of Israel,5,11
the capitals that were,5,11
the covenant of Jehovah,5,11
the days of his,5,11
the house of David,5,11
the land of Egypt,5,11
the priest and Nathan,5,11
the princes of the,5,11
the throne of Israel,5,11
the way of Jeroboam,5,11
then hear thou in,5,11
there was war between,5,11
to pass at the,5,11
to reign over Israel,5,11
to the king of,5,11
years reigned he in,5,11
