of the earth,29,66
out of the,25,66
the earth and,24,66
And I saw,22,66
of God and,15,66
third part of,14,66
ever and ever,13,66
for ever and,13,66
the third part,13,66
the tribe of,13,66
Of the tribe,12,66
a loud voice,12,66
as it were,12,66
on the earth,12,66
sealed twelve thousand,12,66
that sat on,12,66
the midst of,12,66
were sealed twelve,12,66
with a loud,12,66
And I heard,11,66
of the Lamb,11,66
of the beast,11,66
part of the,11,66
the voice of,11,66
upon the earth,11,66
in the midst,10,66
kings of the,10,66
the beast and,10,66
the four beasts,10,66
the kings of,10,66
the sea and,10,66
the throne and,10,66
I heard a,9,66
angel of the,9,66
before the throne,9,66
him that sat,9,66
midst of the,9,66
of the seven,9,66
that they should,9,66
the angel of,9,66
the number of,9,66
was given unto,9,66
I heard the,8,66
an ear let,8,66
and of the,8,66
and the third,8,66
ear let him,8,66
earth and the,8,66
let him hear,8,66
sat on the,8,66
the blood of,8,66
the seven angels,8,66
the wrath of,8,66
when he had,8,66
And he said,7,66
God and the,7,66
He that hath,7,66
I know thy,7,66
Spirit saith unto,7,66
These things saith,7,66
and I will,7,66
and behold a,7,66
and in the,7,66
and them that,7,66
and there was,7,66
angel sounded and,7,66
book of life,7,66
came out of,7,66
four and twenty,7,66
given unto him,7,66
hath an ear,7,66
hear what the,7,66
him hear what,7,66
know thy works,7,66
of the church,7,66
on the throne,7,66
one of the,7,66
out his vial,7,66
out of his,7,66
poured out his,7,66
said unto me,7,66
saith unto the,7,66
that great city,7,66
that hath an,7,66
the Spirit saith,7,66
the book of,7,66
the bottomless pit,7,66
the things which,7,66
unto the churches,7,66
what the Spirit,7,66
write These things,7,66
And I beheld,6,66
And the four,6,66
And when he,6,66
I saw the,6,66
a great voice,6,66
and I heard,6,66
and he that,6,66
and honour and,6,66
and there were,6,66
and twenty elders,6,66
angel poured out,6,66
cried with a,6,66
had opened the,6,66
he had opened,6,66
he said unto,6,66
he that sat,6,66
his vial upon,6,66
more at all,6,66
no more at,6,66
of the throne,6,66
of the wrath,6,66
out of heaven,6,66
the name of,6,66
the smoke of,6,66
the temple of,6,66
the word of,6,66
them that dwell,6,66
vial upon the,6,66
which had the,6,66
which thou sawest,6,66
