of the LORD,128
the king of,100
the son of,94
the house of,82
house of the,50
And he said,48
king of Judah,44
king of Israel,43
king of Assyria,42
the kings of,40
of the kings,37
came to pass,36
it came to,36
man of God,36
the LORD and,34
And it came,31
in the sight,28
of the house,28
sight of the,28
the sight of,28
the book of,27
the man of,27
began to reign,26
book of the,26
said unto him,26
the hand of,26
And the king,25
in the book,25
in the house,25
of the land,25
saith the LORD,25
written in the,25
in his stead,24
out of the,24
reigned in his,23
rest of the,23
that which was,23
the rest of,23
chronicles of the,22
king of Babylon,22
king of Syria,22
of the acts,22
of the chronicles,22
the acts of,22
the chronicles of,22
the high places,22
and all the,21
the children of,21
with his fathers,21
did that which,20
kings of Israel,20
to the king,20
And he did,19
I pray thee,19
Thus saith the,19
according to all,19
and said unto,19
evil in the,19
he did that,19
are they not,18
into the house,18
not written in,18
they not written,18
and all that,17
kings of Judah,17
said unto them,17
the people of,17
he began to,16
his son reigned,16
son reigned in,16
the word of,16
was evil in,16
which was evil,16
word of the,16
according to the,15
all that he,15
of the king,15
people of the,15
that he did,15
the land of,15
to reign and,15
when he began,15
Jeroboam the son,14
slept with his,14
he said unto,13
his fathers and,13
in the city,13
the daughter of,13
the sins of,13
to pass when,13
And his mothers,12
And the LORD,12
Now the rest,12
all the people,12
and he reigned,12
his mothers name,12
mothers name was,12
son of Nebat,12
the kings house,12
to all that,12
And the rest,11
LORD God of,11
and I will,11
and the king,11
captain of the,11
children of Israel,11
hand of the,11
house of Ahab,11
of Jeroboam the,11
of Judah and,11
of the city,11
reign and he,11
sins of Jeroboam,11
the LORD God,11
the LORD hath,11
the words of,11
years in Jerusalem,11
And he answered,10
Israel to sin,10
departed not from,10
did are they,10
found in the,10
he did are,10
him and said,10
into the hand,10
made Israel to,10
of Israel and,10
of the people,10
of the prophets,10
the sons of,10
And Elisha said,9
And when he,9
God of Israel,9
Hazael king of,9
and in the,9
he departed not,9
him and he,9
in Samaria and,9
of the guard,9
sons of the,9
the LORD which,9
the city of,9
the host of,9
the men of,9
the way of,9
to pass in,9
unto the king,9
unto this day,9
who made Israel,9
And all the,8
And he went,8
And when they,8
Nebat who made,8
for the LORD,8
in the land,8
of Nebat who,8
of the Syrians,8
of the hand,8
old when he,8
pass in the,8
pass when the,8
said unto her,8
the captain of,8
the cities of,8
the servants of,8
to pass as,8
to the word,8
went up and,8
years old when,8
And when the,7
Elisha said unto,7
Israel in Samaria,7
LORD and the,7
and all his,7
and came to,7
breaches of the,7
by the way,7
came to the,7
children of the,7
city of David,7
fathers in the,7
from the sins,7
his fathers in,7
house of Baal,7
in all the,7
in the cities,7
men of the,7
of God and,7
of the children,7
out of his,7
over Israel in,7
reign over Israel,7
right in the,7
shall not be,7
son of Remaliah,7
that the LORD,7
that were in,7
the LORD he,7
the LORD said,7
the blood of,7
the breaches of,7
the city and,7
the gate of,7
the land and,7
the money that,7
the people that,7
them into the,7
to all the,7
to reign over,7
was found in,7
was over the,7
was right in,7
way of the,7
when the king,7
which he spake,7
which the LORD,7
which was right,7
whom the LORD,7
year of king,7
years old was,7
Amaziah king of,6
And he brought,6
And he took,6
And she said,6
As the LORD,6
Jehoiada the priest,6
LORD according to,6
LORD their God,6
Nebuchadnezzar king of,6
Pekah the son,6
and made a,6
and the kings,6
and the people,6
brake down the,6
captains of the,6
for a shekel,6
he did and,6
he said to,6
him Thus saith,6
him in the,6
king of Egypt,6
kings house and,6
meet him and,6
not from the,6
of Assyria and,6
of Baal and,6
of Israel had,6
of Judah began,6
of the gate,6
of the high,6
of the man,6
one of the,6
sent me to,6
son of Ahab,6
that his father,6
that they may,6
that was found,6
that was in,6
that which is,6
the LORD according,6
the LORD had,6
the LORD liveth,6
the LORD their,6
the altar and,6
the days of,6
the gods of,6
the king and,6
the treasures of,6
them in the,6
there was no,6
thus saith the,6
to meet him,6
treasures of the,6
unto the LORD,6
walked in the,6
was twenty and,6
were in the,6
with him and,6
