N-gram,Count,Book
you,68,51
all,32,51
is,30,51
for,28,51
which,28,51
Christ,25,51
your,25,51
him,22,51
God,20,51
things,20,51
also,17,51
who,17,51
are,15,51
his,15,51
I,14,51
Lord,13,51
may,12,51
have,11,51
it,11,51
through,11,51
has,10,51
he,10,51
or,10,51
made,9,51
my,9,51
not,9,51
one,9,51
our,9,51
For,8,51
Jesus,8,51
flesh,8,51
from,8,51
us,8,51
will,8,51
body,7,51
man,7,51
this,7,51
together,7,51
were,7,51
whom,7,51
been,6,51
love,6,51
those,6,51
was,6,51
wisdom,6,51
word,6,51
Father,5,51
according,5,51
being,5,51
beloved,5,51
do,5,51
faith,5,51
having,5,51
heard,5,51
servant,5,51
them,5,51
