N-gram,Count,Version
the word of Jehovah came unto me saying,52,dby
And the word of Jehovah came unto me,43,dby
old when he began to reign and he,35,dby
when he began to reign and he reigned,35,dby
years old when he began to reign and,35,dby
book of the chronicles of the kings of,34,dby
in the book of the chronicles of the,34,dby
the book of the chronicles of the kings,34,dby
written in the book of the chronicles of,34,dby
are they not written in the book of,31,dby
they not written in the book of the,31,dby
saith Jehovah of hosts the God of Israel,30,dby
not written in the book of the chronicles,29,dby
And it shall come to pass in that,27,dby
it shall come to pass in that day,27,dby
he did evil in the sight of Jehovah,26,dby
And he did evil in the sight of,22,dby
years in Jerusalem and his mothers name was,21,dby
at the entrance of the tent of meeting,20,dby
shall come to pass in that day that,20,dby
and they shall know that I am Jehovah,19,dby
one buck of the goats for a sinoffering,19,dby
after their families according to their fathers houses,18,dby
and ye shall know that I am Jehovah,18,dby
of the chronicles of the kings of Israel,18,dby
the children of Israel and say unto them,18,dby
Thus saith Jehovah of hosts the God of,17,dby
shekels according to the shekel of the sanctuary,17,dby
what was right in the sight of Jehovah,17,dby
And he said unto me Son of man,16,dby
of the chronicles of the kings of Judah,15,dby
the whole assembly of the children of Israel,15,dby
And it came to pass at the end,14,dby
did are they not written in the book,14,dby
fine flour mingled with oil for an oblation,14,dby
he did are they not written in the,14,dby
it came to pass at the end of,14,dby
of fine flour mingled with oil for an,14,dby
And Jehovah spoke to Moses and to Aaron,13,dby
Speak unto the children of Israel and say,13,dby
according to their fathers houses by the number,13,dby
and upward all that went forth to military,13,dby
did what was right in the sight of,13,dby
families according to their fathers houses by the,13,dby
fathers houses by the number of the names,13,dby
from twenty years old and upward all that,13,dby
old and upward all that went forth to,13,dby
shall know that I am Jehovah when I,13,dby
their families according to their fathers houses by,13,dby
their fathers houses by the number of the,13,dby
to their fathers houses by the number of,13,dby
twenty years old and upward all that went,13,dby
unto the children of Israel and say unto,13,dby
upward all that went forth to military service,13,dby
years old and upward all that went forth,13,dby
a hundred and thirty shekels one silver bowl,12,dby
a sacrifice of peaceoffering two oxen five rams,12,dby
according to the shekel of the sanctuary both,12,dby
and for a sacrifice of peaceoffering two oxen,12,dby
and his host even those that were numbered,12,dby
and thirty shekels one silver bowl of seventy,12,dby
behold they are written in the book of,12,dby
blue and purple and scarlet and twined byssus,12,dby
both of them full of fine flour mingled,12,dby
bowl of seventy shekels according to the shekel,12,dby
bullock one ram one yearling lamb for a,12,dby
cup of ten shekels of gold full of,12,dby
dish of the weight of a hundred and,12,dby
for a sacrifice of peaceoffering two oxen five,12,dby
full of fine flour mingled with oil for,12,dby
generations after their families according to their fathers,12,dby
hundred and thirty shekels one silver bowl of,12,dby
