N-gram,Count,Book
of the LORD,127,12
the king of,100,12
the son of,94,12
the house of,82,12
house of the,50,12
And he said,47,12
king of Judah,44,12
king of Israel,43,12
king of Assyria,42,12
the kings of,40,12
of the kings,37,12
came to pass,36,12
it came to,36,12
man of God,36,12
the LORD and,33,12
And it came,31,12
to the king,29,12
in the sight,28,12
of the house,28,12
sight of the,28,12
the sight of,28,12
said to him,27,12
the book of,27,12
the man of,27,12
began to reign,26,12
book of the,26,12
the hand of,26,12
And the king,25,12
in the book,25,12
in the house,25,12
saith the LORD,25,12
written in the,25,12
and said to,24,12
in his stead,24,12
of the land,24,12
rest of the,23,12
the rest of,23,12
chronicles of the,22,12
king of Babylon,22,12
king of Syria,22,12
of the acts,22,12
of the chronicles,22,12
reigned in his,22,12
that which was,22,12
the acts of,22,12
the chronicles of,22,12
the high places,22,12
and all the,21,12
the children of,21,12
with his fathers,21,12
according to all,20,12
did that which,20,12
kings of Israel,20,12
And he did,19,12
I pray thee,19,12
Thus saith the,19,12
evil in the,19,12
he did that,19,12
he said to,19,12
are they not,18,12
into the house,18,12
not written in,18,12
they not written,18,12
and all that,17,12
kings of Judah,17,12
said to them,17,12
the people of,17,12
according to the,16,12
he began to,16,12
his son reigned,16,12
son reigned in,16,12
the word of,16,12
word of the,16,12
all that he,15,12
and he reigned,15,12
people of the,15,12
that he did,15,12
to reign and,15,12
was evil in,15,12
when he began,15,12
which was evil,15,12
Jeroboam the son,14,12
of the king,14,12
slept with his,14,12
the land of,14,12
to all that,14,12
his fathers and,13,12
in the city,13,12
reign and he,13,12
the daughter of,13,12
the sins of,13,12
to pass when,13,12
And his mothers,12,12
And the LORD,12,12
Now the rest,12,12
all the people,12,12
his mothers name,12,12
mothers name was,12,12
son of Nebat,12,12
the kings house,12,12
who made Israel,12,12
And the rest,11,12
LORD God of,11,12
and I will,11,12
and the king,11,12
captain of the,11,12
children of Israel,11,12
hand of the,11,12
house of Ahab,11,12
of Israel and,11,12
of Jeroboam the,11,12
