03001001,3,1,1,"And Jehovah called to Moses and spoke to him out of the tent of meeting, saying,"
03001002,3,1,2,"Speak unto the children of Israel and say unto them, When any man of you presenteth an offering to Jehovah, ye shall present your offering of the cattle, of the herd and of the flock."
03001003,3,1,3,"If his offering be a burnt-offering of the herd, he shall present it a male without blemish: at the entrance of the tent of meeting shall he present it, for his acceptance before Jehovah."
03001004,3,1,4,And he shall lay his hand on the head of the burnt-offering; and it shall be accepted for him to make atonement for him.
03001005,3,1,5,"And he shall slaughter the bullock before Jehovah; and Aaron's sons, the priests, shall present the blood and sprinkle the blood round about on the altar that is at the entrance of the tent of meeting."
03001006,3,1,6,"And he shall flay the burnt-offering, and cut it up into its pieces."
03001007,3,1,7,"And the sons of Aaron the priest shall put fire on the altar, and lay wood in order on the fire;"
03001008,3,1,8,"and Aaron's sons, the priests, shall lay the pieces, the head, and the fat, in order on the wood that is on the fire which is on the altar;"
03001009,3,1,9,"but its inwards and its legs shall he wash in water; and the priest shall burn all on the altar, a burnt-offering, an offering by fire to Jehovah of a sweet odour."
03001010,3,1,10,"And if his offering be of the flock, of the sheep or of the goats, for a burnt-offering, he shall present it a male without blemish."
03001011,3,1,11,"And he shall slaughter it on the side of the altar northward before Jehovah; and Aaron's sons, the priests, shall sprinkle its blood on the altar round about."
03001012,3,1,12,"And he shall cut it into its pieces, and its head, and its fat; and the priest shall lay them in order on the wood that is on the fire which is on the altar;"
03001013,3,1,13,"but the inwards and the legs shall he wash with water; and the priest shall present [it] all, and burn [it] on the altar: it is a burnt-offering, an offering by fire to Jehovah of a sweet odour."
03001014,3,1,14,"And if his offering to Jehovah be a burnt-offering of fowls, then he shall present his offering of turtle-doves, or of young pigeons."
03001015,3,1,15,And the priest shall bring it near to the altar and pinch off its head and burn it on the altar; and its blood shall be pressed out at the side of the altar.
03001016,3,1,16,"And he shall remove its crop with its feathers, and cast it beside the altar on the east, into the place of the ashes;"
03001017,3,1,17,"and he shall split it open at its wings, [but] shall not divide [it] asunder; and the priest shall burn it on the altar on the wood that is on the fire: it is a burnt-offering, an offering by fire to Jehovah of a sweet odour."
03002001,3,2,1,"And when any one will present an oblation to Jehovah, his offering shall be of fine flour; and he shall pour oil on it, and put frankincense thereon."
