N-gram,Count,Version
that which was evil in the sight of Jehovah,47,asv
did that which was evil in the sight of,39,asv
in the book of the chronicles of the kings,34,asv
the book of the chronicles of the kings of,34,asv
written in the book of the chronicles of the,34,asv
are they not written in the book of the,31,asv
not written in the book of the chronicles of,29,asv
they not written in the book of the chronicles,29,asv
And it shall come to pass in that day,27,asv
he did that which was evil in the sight,27,asv
old when he began to reign and he reigned,26,asv
years old when he began to reign and he,26,asv
And he did that which was evil in the,22,asv
And the word of Jehovah came unto me saying,22,asv
it shall come to pass in that day that,21,asv
book of the chronicles of the kings of Israel,18,asv
that which was right in the eyes of Jehovah,18,asv
Thus saith Jehovah of hosts the God of Israel,17,asv
book of the chronicles of the kings of Judah,15,asv
did are they not written in the book of,14,asv
did that which was right in the eyes of,14,asv
he did are they not written in the book,14,asv
made by fire of a sweet savor unto Jehovah,14,asv
of fine flour mingled with oil for a mealoffering,14,asv
offering made by fire of a sweet savor unto,14,asv
Speak unto the children of Israel and say unto,13,asv
all that were able to go forth to war,13,asv
an offering made by fire of a sweet savor,13,asv
and upward all that were able to go forth,13,asv
by their fathers houses according to the number of,13,asv
families by their fathers houses according to the number,13,asv
fathers houses according to the number of the names,13,asv
from twenty years old and upward all that were,13,asv
old and upward all that were able to go,13,asv
their families by their fathers houses according to the,13,asv
their fathers houses according to the number of the,13,asv
twenty years old and upward all that were able,13,asv
unto the children of Israel and say unto them,13,asv
upward all that were able to go forth to,13,asv
which was evil in the sight of Jehovah and,13,asv
years old and upward all that were able to,13,asv
And it came to pass at the end of,12,asv
after the shekel of the sanctuary both of them,12,asv
and for the sacrifice of peaceofferings two oxen five,12,asv
and in his course were twenty and four thousand,12,asv
both of them full of fine flour mingled with,12,asv
bowl of seventy shekels after the shekel of the,12,asv
bullock one ram one helamb a year old for,12,asv
by their families by their fathers houses according to,12,asv
five hegoats five helambs a year old this was,12,asv
five helambs a year old this was the oblation,12,asv
five rams five hegoats five helambs a year old,12,asv
for the sacrifice of peaceofferings two oxen five rams,12,asv
full of fine flour mingled with oil for a,12,asv
hegoats five helambs a year old this was the,12,asv
helambs a year old this was the oblation of,12,asv
of peaceofferings two oxen five rams five hegoats five,12,asv
of seventy shekels after the shekel of the sanctuary,12,asv
of the sanctuary both of them full of fine,12,asv
of them full of fine flour mingled with oil,12,asv
one golden spoon of ten shekels full of incense,12,asv
one ram one helamb a year old for a,12,asv
one silver bowl of seventy shekels after the shekel,12,asv
one silver platter the weight whereof was a hundred,12,asv
one young bullock one ram one helamb a year,12,asv
oxen five rams five hegoats five helambs a year,12,asv
peaceofferings two oxen five rams five hegoats five helambs,12,asv
ram one helamb a year old for a burntoffering,12,asv
rams five hegoats five helambs a year old this,12,asv
sacrifice of peaceofferings two oxen five rams five hegoats,12,asv
sanctuary both of them full of fine flour mingled,12,asv
seventy shekels after the shekel of the sanctuary both,12,asv
shekel of the sanctuary both of them full of,12,asv
shekels after the shekel of the sanctuary both of,12,asv
shekels one silver bowl of seventy shekels after the,12,asv
silver bowl of seventy shekels after the shekel of,12,asv
that were numbered of them of the tribe of,12,asv
the sacrifice of peaceofferings two oxen five rams five,12,asv
the sanctuary both of them full of fine flour,12,asv
the shekel of the sanctuary both of them full,12,asv
their generations by their families by their fathers houses,12,asv
them full of fine flour mingled with oil for,12,asv
thirty shekels one silver bowl of seventy shekels after,12,asv
those that were numbered of them of the tribe,12,asv
thus saith Jehovah of hosts the God of Israel,12,asv
two oxen five rams five hegoats five helambs a,12,asv
young bullock one ram one helamb a year old,12,asv
a hundred and thirty shekels one silver bowl of,11,asv
according to the number of the names from twenty,11,asv
all that he did are they not written in,11,asv
and all that he did are they not written,11,asv
and thirty shekels one silver bowl of seventy shekels,11,asv
blue and purple and scarlet and fine twined linen,11,asv
generations by their families by their fathers houses according,11,asv
his oblation was one silver platter the weight whereof,11,asv
houses according to the number of the names from,11,asv
hundred and thirty shekels one silver bowl of seventy,11,asv
number of the names from twenty years old and,11,asv
oblation was one silver platter the weight whereof was,11,asv
of the names from twenty years old and upward,11,asv
platter the weight whereof was a hundred and thirty,11,asv
shall wash his clothes and bathe himself in water,11,asv
silver platter the weight whereof was a hundred and,11,asv
that he did are they not written in the,11,asv
the children of Israel and say unto them When,11,asv
the number of the names from twenty years old,11,asv
the weight whereof was a hundred and thirty shekels,11,asv
to the number of the names from twenty years,11,asv
was a hundred and thirty shekels one silver bowl,11,asv
was one silver platter the weight whereof was a,11,asv
wash his clothes and bathe himself in water and,11,asv
weight whereof was a hundred and thirty shekels one,11,asv
whereof was a hundred and thirty shekels one silver,11,asv
And he did that which was right in the,10,asv
And it came to pass on the morrow that,10,asv
and bathe himself in water and be unclean until,10,asv
bathe himself in water and be unclean until the,10,asv
behold they are written in the book of the,10,asv
clothes and bathe himself in water and be unclean,10,asv
he did that which was right in the eyes,10,asv
himself in water and be unclean until the even,10,asv
his clothes and bathe himself in water and be,10,asv
names from twenty years old and upward all that,10,asv
of blue and purple and scarlet and fine twined,10,asv
the names from twenty years old and upward all,10,asv
with all thy heart and with all thy soul,10,asv
And Jehovah spake unto Moses and unto Aaron saying,9,asv
And his host and those that were numbered of,9,asv
Jeroboam the son of Nebat wherewith he made Israel,9,asv
his host and those that were numbered of them,9,asv
host and those that were numbered of them were,9,asv
of Jehoiakim the son of Josiah king of Judah,9,asv
of Jeroboam the son of Nebat wherewith he made,9,asv
of hosts the God of Israel Behold I will,9,asv
