55001001,55,1,1,"Paul, an apostle of Christ Jesus through the will of God, according to the promise of the life which is in Christ Jesus,"
55001002,55,1,2,"to Timothy, my beloved child: Grace, mercy, peace, from God the Father and Christ Jesus our Lord."
55001003,55,1,3,"I thank God, whom I serve from my forefathers in a pure conscience, how unceasing is my remembrance of thee in my supplications, night and day"
55001004,55,1,4,"longing to see thee, remembering thy tears, that I may be filled with joy;"
55001005,55,1,5,"having been reminded of the unfeigned faith that is in thee; which dwelt first in thy grandmother Lois, and thy mother Eunice; and, I am persuaded, in thee also."
55001006,55,1,6,"For which cause I put thee in remembrance that thou stir up the gift of God, which is in thee through the laying on of my hands."
55001007,55,1,7,For God gave us not a spirit of fearfulness; but of power and love and discipline.
55001008,55,1,8,"Be not ashamed therefore of the testimony of our Lord, nor of me his prisoner: but suffer hardship with the gospel according to the power of God;"
55001009,55,1,9,"who saved us, and called us with a holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before times eternal,"
55001010,55,1,10,"but hath now been manifested by the appearing of our Saviour Christ Jesus, who abolished death, and brought life and immortality to light through the gospel,"
55001011,55,1,11,"whereunto I was appointed a preacher, and an apostle, and a teacher."
55001012,55,1,12,"For which cause I suffer also these things: yet I am not ashamed; for I know him whom I have believed, and I am persuaded that he is able to guard that which I have committed unto him against that day."
55001013,55,1,13,"Hold the pattern of sound words which thou hast heard from me, in faith and love which is in Christ Jesus."
55001014,55,1,14,That good thing which was committed unto `thee' guard through the Holy Spirit which dwelleth in us.
55001015,55,1,15,"This thou knowest, that all that are in Asia turned away from me; of whom are Phygelus and Hermogenes."
55001016,55,1,16,"The Lord grant mercy unto the house of Onesiphorus: for he oft refreshed me, and was not ashamed of my chain;"
55001017,55,1,17,"but, when he was in Rome, he sought me diligently, and found me"
55001018,55,1,18,"(the Lord grant unto him to find mercy of the Lord in that day); and in how many things he ministered at Ephesus, thou knowest very well."
55002001,55,2,1,"Thou therefore, my child, be strengthened in the grace that is in Christ Jesus."
55002002,55,2,2,"And the things which thou hast heard from me among many witnesses, the same commit thou to faithful men, who shall be able to teach others also."
55002003,55,2,3,"Suffer hardship with `me', as a good soldier of Christ Jesus."
55002004,55,2,4,No soldier on service entangleth himself in the affairs of `this' life; that he may please him who enrolled him as a soldier.
55002005,55,2,5,"And if also a man contend in the games, he is not crowded, except he have contended lawfully."
55002006,55,2,6,The husbandmen that laboreth must be the first to partake of the fruits.
55002007,55,2,7,Consider what I say; for the Lord shall give thee understanding in all things.
